Species	family	RI	plant_dry_mass	mass_adjustment	W0	Source	Reference
Ratibida pinnata	Asteraceae	0.001156421	0.007745	1.305	0.00000072	Moles2004	"Davis, M.A., Lemon, K.M. & Dybvig, A.M. (1987) The effect of burning and insect herbivory on seed production of two prairie forbs. Prairie Naturalist 19, 93-100."
Reboudia pinnata	Brassicaceae		0.00933	1.305	0.0000002	Moles2004	"Aronson, J. A., J. Kigel and A. Shmida 1990 Comparative plant sizes and reproductive strategies in desert and mediterranean populations of ephemeral plants. Israel Journal of Botany Basic & Applied Plant Sciences 39 4-6 413-430"
Retama sphaerocarpa	Fabaceae		4.342	1.305	0.000086	Moles2004	"Domingo, F., G. Sanchez, M. J. Moro, A. J. Brenner and J. Puigdefabregas 1998 Measurement and modelling of rainfall interception by three semi-arid canopies. Agricultural & Forest Meteorology 91 3-4 275-292"
Rhinanthus minor	Scrophulariaceae	0.000350251	0.00044	1.305	0.000001873	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Rubia peregrina		0.00015042	0.00097	1.305	0.000030084	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Rubus chamaemorus	Rosaceae		0.000466	1.305	0.0000074	Moles2004	"Korpelainen, H. (1994) Sex ratios and resource allocation among sexually reproducing plants of Rubus chamaemorus. Annals of Botany 74: 627-632"
Rubus chamaemorus			0.00119	1.000	8.21E-06	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Rumex acetosa	Polygonaceae	0.00017264	0.00131	1.305	0.00000052	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Rumex acetosa	Polygonaceae		0.000889	1.305	0.00000074	Moles2004	"Korpelainen, H. 1992 Patterns of resource allocation in male and female plants of Rumex acetosa and Rumex acetosella. Oecologia 89 1 133-139"
Rumex acetosella	Polygonaceae		0.000198	1.305	0.000002855	Moles2004	"Korpelainen, H. 1992 Patterns of resource allocation in male and female plants of Rumex acetosa and Rumex acetosella. Oecologia 89 1 133-139"
Rumex bucephalophorus	Polygonaceae		0.0000755	1.305	0.00000016	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Sabal etonia	Arecaceae		3.932	1.305	0.000354369	Moles2004	"Abrahamson, W. G. (1999) Episodic reproduction in two fire-prone palms, Serenoa repens and Sabal etonia (Palmae). Ecology 80: 100-115"
Sanguisorba minor		0.000338202	0.00083	1.305	0.000008269	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Satureja acinos	Lamiaceae	0.000057114	0.00037	1.305	0.000000167	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Saxifraga granulata	Saxifragaceae	0.00001662	0.00011	1.305	0.00000003	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Scabiosa columbaria	Dipsacaceae	5.69E-05	0.000075	1.150	1.78E-06	Moles2004	"Verkaar, H. J., and A. J. Schenkeveld. 1984. On the ecology of short-lived forbs in chalk grasslands life-history characteristics. New Phytologist 98:659-672."
Schedonnardus paniculatus	Poaceae		0.0031	1.305	0.00000032	Moles2004	"Coffin Debra, P., and L. Urban Dean. 1993. Implications of natural history traits to system-level dynamics: Comparisons of a grassland and a forest. Ecological Modelling 67:147-178."
Scirpus maritimus	Cyperaceae		0.0015	1.000	0.000002375	Moles2004	"Lieffers, V. J., and J. M. Shay. 1982. Distribution and variation in growth of scirpus-maritimus-var-paludosus on the canadian prairies. Canadian Journal of Botany 60:1938-1949."
Sedum sediforme		0.000063714	0.00062	1.305	0.000000074	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Serenoa repens	Arecaceae		15.22981366	1.305	0.000419604	Moles2004	"Abrahamson, W. G. (1999) Episodic reproduction in two fire-prone palms, Serenoa repens and Sabal etonia (Palmae). Ecology 80: 100-115"
Setaria faberii	Poaceae	0.00281	0.003778	1.000	0.0000025	Moles2004	"Kawano, S., and S. Miyake. 1983. The productive and reproductive biology of flowering plants 10. reproductive energy allocation and propagule output of 5 congeners of the genus setaria gramineae. Oecologia, Berlin 57:6-13."
Setaria pallide-fusca	Poaceae	0.0005302	0.0005775	1.000	0.0000022	Moles2004	"Kawano, S., and S. Miyake. 1983. The productive and reproductive biology of flowering plants 10. reproductive energy allocation and propagule output of 5 congeners of the genus setaria gramineae. Oecologia, Berlin 57:6-13."
Setaria viridis	Poaceae	0.000166048	0.000381	1.000	0.000000709	Moles2004	"Kawano, S., and S. Miyake. 1983. The productive and reproductive biology of flowering plants 10. reproductive energy allocation and propagule output of 5 congeners of the genus setaria gramineae. Oecologia, Berlin 57:6-13."
Setaria viridis var. pchystachys	Poaceae	0.000188007	0.0002149	1.000	0.00000087	Moles2004	"Kawano, S., and S. Miyake. 1983. The productive and reproductive biology of flowering plants 10. reproductive energy allocation and propagule output of 5 congeners of the genus setaria gramineae. Oecologia, Berlin 57:6-13."
Setaria X pycnocoma	Poaceae	0.00111816	0.003117	1.000	0.00000072	Moles2004	"Kawano, S., and S. Miyake. 1983. The productive and reproductive biology of flowering plants 10. reproductive energy allocation and propagule output of 5 congeners of the genus setaria gramineae. Oecologia, Berlin 57:6-13."
Shorea robusta			75.81505631	1.000	0.001007263	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Silene gallica	Caryophyllaceae		0.0003954	1.305	0.00000035	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Silybum marianum	Asteraceae		0.0074	1.305	2.29E-05	Moles2004	"Gabay, R., Plitmann, U. & Danin, A. (1994) Factors affecting the dominance of Silybum marianum L. (Asteraceae) in its specific habitats. Flora 189, 201-206."
Solidago canadensis	Asteraceae		0.012266	1.305	0.000000063	Moles2004	"Hartnett, D. C. 1990 Size-dependent allocation to sexual and vegetative reproduction in four clonal composites. Oecologia 84 2 254-259"
Spergula arvensis	Caryophyllaceae		0.0003953	1.305	0.00000024	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Spergularia rubra	Caryophyllaceae		0.000164	1.305	0.00000002	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Sphaeralcea coccinea	Malvaceae		0.0007	1.305	0.0000027	Moles2004	"Coffin Debra, P., and L. Urban Dean. 1993. Implications of natural history traits to system-level dynamics: Comparisons of a grassland and a forest. Ecological Modelling 67:147-178."
Stellaria graminea	Caryophyllaceae	0.000064974	0.00021	1.305	0.000000273	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Stipa capensis	Poaceae		0.02748	1.305	0.00000085	Moles2004	"Aronson, J. A., J. Kigel and A. Shmida 1990 Comparative plant sizes and reproductive strategies in desert and mediterranean populations of ephemeral plants. Israel Journal of Botany Basic & Applied Plant Sciences 39 4-6 413-430"
Stipa capensis	Poaceae		0.0017363	1.305	0.00000085	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Stipa elegantissima	Poaceae	0.00376635	0.01172	1.150	0.00000255	Moles2004	"Pate, J. S., N. E. Casson, J. Rullo, and J. Kuo. 1985. Biology of fire ephemerals of the sandplains of the kwongan of southwestern australia. Australian Journal of Plant Physiology 12:641-656."
Stipa tenacissima	Poaceae		1.9584	1.305	0.00000348	Moles2004	"Domingo, F., G. Sanchez, M. J. Moro, A. J. Brenner and J. Puigdefabregas 1998 Measurement and modelling of rainfall interception by three semi-arid canopies. Agricultural & Forest Meteorology 91 3-4 275-292"
Succisa pratensis	Dipsacaceae	0.00031443	0.00126	1.305	0.000001338	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Taraxacum vulgare	Asteraceae	0.00017802	0.00125	1.305	0.000000387	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Tectona grandis			417.4462705	1.000	0.000550201	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Tersonia brevipes	Gyrostemonaceae	0.001155	0.171	1.150	0.00000165	Moles2004	"Pate, J. S., N. E. Casson, J. Rullo, and J. Kuo. 1985. Biology of fire ephemerals of the sandplains of the kwongan of southwestern australia. Australian Journal of Plant Physiology 12:641-656."
Thymus serpyllum	Lamiaceae	0.000017976	0.00019	1.305	0.000000168	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Tolpis barbata	Asteraceae		0.000455	1.305	0.00000018	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Trachymene cyanopetala	Apiaceae	0.00003081	0.00003	1.150	0.00000079	Moles2004	"Pate, J. S., N. E. Casson, J. Rullo, and J. Kuo. 1985. Biology of fire ephemerals of the sandplains of the kwongan of southwestern australia. Australian Journal of Plant Physiology 12:641-656."
Trifolium angustifolium		0.00027378	0.00121	1.305	0.00000169	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Trifolium arvense	Fabaceae	0.000128352	0.00029	1.305	0.000000382	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Trifolium bocconei	Fabaceae		0.000258	1.305	0.00000028	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Trifolium campestre	Fabaceae		0.0001335	1.305	0.00000014	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Trifolium cherleri	Fabaceae		0.0002664	1.305	0.00000216	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Trifolium glomeratum	Fabaceae		0.0002605	1.305	0.0000003	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Trifolium pratense	Fabaceae	0.00086125	0.00501	1.305	0.000001625	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Trifolium repens	Fabaceae	0.000014592	0.0002	1.305	0.000000228	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Trifolium repens			0.014708	1.305	5.39E-07	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Trifolium subterraneum	Fabaceae		0.0015247	1.305	0.00000567	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Triglochin palustre	Juncaginaceae		0.000121	1.000	0.000000471	Moles2004	"Mulder, C. P. H. and R. W. Ruess (1998) Relationships between size, biomass allocation, reproduction, and survival in Triglochin palustris: Implications for the effects of goose herbivory. Canadian Journal of Botany 76: 2164-2176"
Trillium apetalon	Lilliaceae	0.000476748	0.00466	1.150	0.00000342	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium catesbaei	Lilliaceae	0.00004991	0.00268	1.150	0.0000031	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium cuneatum	Lilliaceae	0.000191754	0.00685	1.150	0.00000402	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium decipiens	Lilliaceae	0.000424394	0.00395	1.150	0.00000886	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium decumbens	Lilliaceae	0.000133185	0.00256	1.150	0.00000683	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium discolor	Lilliaceae	0.00007602	0.00291	1.150	0.00000362	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium erectum	Lilliaceae	0.000404712	0.00695	1.150	0.00000504	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium flexipes	Lilliaceae	0.00018438	0.00674	1.150	0.0000042	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium foetidissimum	Lilliaceae	0.00023079	0.00186	1.150	0.00001099	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium grandiflorum	Lilliaceae	0.00016692	0.00447	1.150	0.00000642	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium kamtschaticum	Lilliaceae	0.000400824	0.00439	1.150	0.00000293	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium lancifloium	Lilliaceae	0.000047433	0.00159	1.150	0.00000489	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium ludovicianum	Lilliaceae	0.000271975	0.00407	1.150	0.00001075	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium luteum	Lilliaceae	0.000115276	0.00577	1.150	0.00000358	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium maculatum	Lilliaceae	0.000197714	0.00315	1.150	0.00000817	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium nivale	Lilliaceae	0.00003861	0.00052	1.150	0.0000027	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium recurvatum	Lilliaceae	0.000036816	0.00267	1.150	0.00000472	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium reliquum	Lilliaceae	0.000155078	0.00278	1.150	0.00001007	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium sessile	Lilliaceae	0.00025818	0.00265	1.150	0.0000078	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium smallii	Lilliaceae	0.00050511	0.0081	1.150	0.00000447	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium stamineum	Lilliaceae	0.000105963	0.00231	1.150	0.00000741	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium tschonoskii	Lilliaceae	0.00027531	0.00428	1.150	0.00000345	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium underwoodii	Lilliaceae	0.000212796	0.00247	1.150	0.00001028	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium undulatum	Lilliaceae	0.00012118	0.00341	1.150	0.00000415	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium vaseyi	Lilliaceae	0.0000555	0.0095	1.150	0.000003	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trillium viridescens	Lilliaceae	0.00017888	0.00301	1.150	0.00000688	Moles2004	"Ohara, M. (1989) Life history evolution in the genus Trillium. Plant species biology 4, 1-28."
Trollius europaeus	Ranunculaceae		0.001096478	1.150	0.00000106	Moles2004	"Hemborg, A.M. & Karlsson, P.S. (1998) Altitudinal variation in size effects on plant reproductive effort and somatic costs of reproduction. Ecoscience 5, 517-525."
Tuberaria guttata	Cistaceae		0.000115	1.305	0.00000002	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Vaccinium angustifolium	Ericaceae		0.00084	1.305	0.00000023	Moles2004	"Whittaker, R., and G. Woodwell. 1968. Dimension and production relations of trees and shrubs in the Brookhaven Forest, New York. Ecology 56:1-25."
Vaccinium myrtillus	Ericaceae	0.0002564	0.00192	1.305	0.0000004	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Vaccinium vitis-idaea	Ericaceae	0.0000273	0.0004	1.305	0.0000003	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Verbascum thaspus	Scrophulariaceae	0.0033992	0.05208547	1.305	0.00000006	Moles2004	"Reinartz J.A. (1984) Life history variation of common mullein Verbascum thapsus 3. differences among sequential cohorts. Journal of Ecology. 72, 927-36."
Vernonia baldwini	Asteraceae	0.000309	0.002555556	1.305	0.000001	Moles2004	"Damhoureyeh S.A., & Hartnett D.C. (1997) Effects of bison and cattle on growth, reproduction, and abundances of five tallgrass prairie forbs. American Journal of Botany. 84, 1719-28."
Vernonia baldwini	Asteraceae		0.062	1.305	0.000001	Moles2004	"Hartnett, D. C. 1990 Size-dependent allocation to sexual and vegetative reproduction in four clonal composites. Oecologia 84 2 254-259"
Veronica chamaedrys	Scrophulariaceae	0.000016019	0.00022	1.305	0.000000193	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Veronica officinalis	Scrophulariaceae	0.000016605	0.00064	1.305	0.000000135	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Veronica persica		0.00018336	0.00021	1.305	0.000000382	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Vicia cracca	Fabaceae	0.00078595	0.00154	1.305	0.00001429	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Viola blanda	Violaceae		0.0001693	1.000	0.000000957	Moles2004	"Thompson, D. A., and A. J. Beattie. 1981. Density mediated seed and stolon production in Viola (Violaceae). American Journal of Botany 68:383-388."
Vulpia geniculata	Poaceae		0.0001524	1.305	0.00000037	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Vulpia microstachys	Poaceae	2.89E-05	0.0000786	1.305	0.000001238	Moles2004	"Jurjavcic N.L., Harrison S., & Wolf A.T. (2002) Abiotic stress, competition, and the distribution of the native annual grass Vulpia microstachys in a mosaic environment. Oecologia. 130, 555-62."
Vulpia myuros	Poaceae		0.0000977	1.305	0.00000034	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Waitzia paniculata	Asteraceae	0.00003611	0.00009	1.150	0.00000023	Moles2004	"Pate, J.S., Casson, N.E., Rullo, J. & Kuo, J. (1985) Biology of fire ephemerals of the sandplains of the Kwongan of south-western Australia. Australian Journal of Plant Physiology 12, 641-656."
Wurmbea dioica	Liliaceae	0.000087821	0.00065	1.305	0.00000106	Moles2004	"Barrett S.C.H., Case A.L., & Peters G.B. (1999) Gender modification and resource allocation in subdioecious Wurmbea dioica (Colchicaceae). Journal of Ecology. 87, 123-37."
Xanthium strumarium	Asteraceae		0.050119	1.305	0.0000824	Moles2004	"Weiner, J., S. Kinsman and S. Williams (1998) Modeling the growth of individuals in plant populations: Local density variation in a strand population of Xanthium strumarium (Asteraceae). American Journal of Botany 85: 1638-1645"
