Species	family	RI	plant_dry_mass	mass_adjustment	W0	Source	Reference
Bromus madritensis	Poaceae		0.0004259	1.305	0.00000038	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Bromus madritensis		4.22E-05	0.00007	1.305	0.000002398	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Cakile edentula	Brassicaceae	0.000752751	0.003444	1.000	7.10E-06	Moles2004	"Keddy, P. A. 1982. Population ecology on an environmental gradient cakile-edentula on sand dune. Oecologia, Berlin 52:348-355."
Calamintha nepeta		0.000026724	0.00174	1.305	0.000000204	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Calandrinia corrigioloides	Portulacaceae	0.0000882	0.00046	1.150	0.00000018	Moles2004	"Pate, J. S., N. E. Casson, J. Rullo, and J. Kuo. 1985. Biology of fire ephemerals of the sandplains of the kwongan of southwestern australia. Australian Journal of Plant Physiology 12:641-656."
Calliandra eriophylla	Fabaceae (mim)		0.01963	1.305	0.0000208	Moles2004	"Marques, E. S. A., P. W. Price and N. S. Cobb 2000 Resource abundance and insect herbivore diversity on woody fabaceous desert plants. Environmental Entomology 29 4 696-703"
Camellia japonica			42.9302326	1.305	0.001070245	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Camellia sinensis			5.303733977	1.000	0.001164834	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Campanula rotundifolia	Campanulaceae	0.00002448	0.000317	1.305	0.000000048	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Capsella bursa-pastoris			0.041	1.305	0.00000015	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Carex caryophyllea	Cyperaceae	0.000021532	0.0001	1.305	0.000000769	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Carthamus lanatus	Asteraceae		0.0378	1.150	0.00001872	Moles2004	"Sheppard, A. W. and J. Vitou 2000 The effect of a rosette-crown fly, Botanophila turcica, on growth, biomass allocation and reproduction of the thistle Carthamus lanatus. Acta Oecologica 21 6 337-347"
Cassia fasciculata	Fabaceae (Caes)		0.001	1.305	0.0000077	Moles2004	"Lee, T. D. and F. A. Bazzaz 1982 Regulation of fruit and seed production in an annual legume Cassia fasciculata. Ecology 63 5 1363-1373"
Castanea sativa			2.29285714	1.305	0.002050867	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Centaurea aspera		0.000623111	0.00406	1.305	0.000003163	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Centaurea jacea	Asteraceae	0.0000532	0.002	1.305	0.000001064	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Cerastium fontanum	Caryophyllaceae	0.000134874	0.00031	1.305	0.000000118	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Cerastium glomeratum	Caryophyllaceae		0.0000841	1.305	0.00000004	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Cercidium microphyllum	Fabaceae		2.21249	1.305	0.00014172	Moles2004	"Marques, E. S. A., P. W. Price and N. S. Cobb 2000 Resource abundance and insect herbivore diversity on woody fabaceous desert plants. Environmental Entomology 29 4 696-703"
Chaenactis stevioides	Asteraceae	0.000559056	0.0054	1.000	0.000000304	Moles2004	"Whitford, W.G. & Gutierrez, J.R. (1989) Effects of water and nitrogen supplementation on phenology plant size tissue nitrogen and seed yield of chihuahuan desert annual plants. Southwestern Naturalist 34, 546-549."
Chamaecyparis obtusa			38.38461538	1.000	3.03E-06	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Chamaedorea ernesti-augusti	Arecaceae		0.04356	1.150	0.00028	Moles2004	"Bullock, S. H. 1984. Biomass and nutrient allocation in a neotropical dioecious palm. Oecologia, Berlin 63:426-428."
Chamaemelum fuscatum	Asteraceae		0.0004975	1.305	0.00000016	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Chamaemelum mixtum	Asteraceae		0.0004198	1.305	0.00000014	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Chenopodium album	Amaranthaceae		0.0004	1.305	7.80E-07	Moles2004	"Coffin Debra, P., and L. Urban Dean. 1993. Implications of natural history traits to system-level dynamics: Comparisons of a grassland and a forest. Ecological Modelling 67:147-178."
Convolvulus arvensis		4.12E-05	0.00043	1.305	0.000012484	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Conyza canadensis		0.000947376	0.00285	1.305	0.000000048	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Conyza sumatrensis		0.001492564	0.00811	1.305	0.000000041	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Crepis capillaris	Asteraceae		0.0001439	1.305	0.00000011	Moles2004	"Fernandes Ales, R., J. M. Laffarga and F. Ortega 1993 Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4 313-322"
Crepis foetida		0.000180225	0.00094	1.305	0.000000267	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Crocus heuffelianus	Iridaceae	0.00010742	0.001458571	1.150	0.00000611	Moles2004	"Mihaly, A. & Kricsfalusy, V. (1997) Population biology and ecology of Crocus heuffelianus Herb. (Iridaceae) in Ukraine. Linzer Biologische Beitraege 29, 641-681."
Cynodon dactylon			0.00064	1.305	0.000000121	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Cynoglossum officinale	Boraginaceae		0.26664	1.305	2.33E-05	Moles2004	"Wesselingh, R. A., P. G. L. Klinkhamer, T. J. De Jong and L. A. Boorman (1997) Threshold size for flowering in different habitats: Effects of size-dependent growth and survival. Ecology 78: 2118-2132"
Cyperus rotundus			0.021	1.305	1.42E-07	Niklas2004	"Niklas, K. J., and B. J. Enquist. 2004. Biomass Allocation and Growth Data of Seeded Plants. Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A."
Dactylis glomerata		0.00081515	0.01831	1.305	0.00000035	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Danthonia decumbens	Poaceae	0.000143856	0.00724	1.305	0.000001296	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
Daucus carota		0.0022172	0.00253	1.305	0.00000092	Vile2006	"Vile, D., B. Shipley, and E. Garnier. 2006. A structural equation model to integrate changes in functional strategies during old-field succession. Ecology 87:504-517."
Deschampsia cespitosa	Poaceae	0.00123225	0.0467	1.305	0.00000031	Moles2004	"Jakobsson, A. & Eriksson, O. (2000) A comparative study of seed number, seed size, seedling size and recruitment in grassland plants. Oikos 88, 494-502."
